Magdalena, Merna: 02-31-2034
Ammon, Fawne: 12.31.2071
Cloris, Andromache: 08-30-2000
Scrogan, Val: 12/30/1959
Martz, Lindsey: 11-04-1927
Wolfe, Eddie: 05/17/2021
Henrie, Adeline: 07-26-1942
Dilisio, Emily: 04/04/2060
Xanthus, Codee: 08/30/2082
Zandt, Lara: 10/03/1910
Dutch, Jacquie: 12.02.1966
Fowkes, Merrili: 03/05/1977
Ongun, Cal: 09/30/1956
Jessi, Shelia: 11/08/1969
Fiertz, Saundra: 12.14.1931
Annunciata, Chelsey: 11.01.2060
Ventura, Ginevra: 10/01/2032
Carlick, Vernice: 03.31.1943
Streeter, Caralie: 01-18-2004
Consolata, Claude: 01-02-2001
Lindner, Aili: 03.31.2018
Fabian, Sela: 09/02/2073
Happ, Allianora: 11/15/1921
Jecon, Petronella: 10/30/2001
Grefe, Caprice: 11.31.1977
Aida, Ketty: 12-04-1949
Root, Rebbecca: 04/13/1975
Annabal, Wileen: 10-02-2085
Primaveria, Manon: 01/07/1963
Skyler, Magdalene: 12-11-1982
Etam, Faydra: 01-28-2044
Delisle, Drusi: 11-04-2077
Hesper, Sal: 12-31-2049
Lula, Oralee: 03.25.2072
Hofmann, Adelaide: 03.05.1934
Pul, Josee: 05/21/2017
Reifel, Grata: 12/25/1990
Docia, Vitia: 03/05/2011
Avie, Germana: 05-31-2086
Trula, Binny: 10-21-2012
Aniakudo, Quentin: 08-04-2022
Delaryd, Garnette: 07/30/2035
Halford, Stephine: 02-30-2068
Toddie, Binni: 11.30.2062
Alta, Kimbra: 11-31-2015
Sauveur, Aurore: 12/10/2067
Dimphia, Mirabel: 12/05/1982
Lingwood, Cicely: 10/27/2021
Gibbons, Rochelle: 01-31-2016
Karlik, Ranice: 08/08/2019
Kenney, Leonelle: 12.01.1964
Hebert, Chastity: 06-22-1987
Nole, Meghann: 11-25-2035
Canotas, Tommie: 10/01/2048
Ogata, Janot: 07.31.1962
Bakerman, Doralia: 03/01/2061
Calbert, Laura: 11-31-2084
Elana, Hortensia: 12-07-1933
Levenson, Sib: 11-02-2044
Hanforrd, Charline: 10.28.2045
Warring, Audy: 10-31-1991
Brear, Shana: 02/03/2040
Anallise, Charisse: 12-31-1962
Edyth, Timmie: 09/28/1933
Thurlough, Helen-Elizabeth: 08/31/2083
Katti, Livvyy: 08-30-1971
Levesque, Binni: 07.14.2080
Harold, Belita: 12.19.2052
Oram, Dalenna: 05/28/1923
Budding, Charmane: 02.18.2084
Ally, Zonnya: 12/04/1977
Xaviera, Merle: 07/22/2040
Julide, Silvia: 03/31/2031
Tawsha, Nicoli: 11.03.1918
Dunc, Fidela: 10-18-2057
Karisa, Gisele: 05-03-1920
Trakas, Lona: 09.28.1948
Oleg, Delcine: 11-18-1953
Sadye, Anne-Marie: 08.31.1979
Marilou, Eleanor: 12.01.2020
Bierman, Gracia: 06-31-2061
Elah, Cori: 08/30/1975
Adelia, Harriet: 10.23.1958
Marven, Ingunna: 06/31/1964
Engdahl, Sybil: 11.30.1985
Boycie, Goldy: 10/04/1912
Drucie, Melicent: 11.26.2036
Reinald, Malinde: 04-04-1955
Aeriela, Raf: 08/20/2085
Cynar, Glory: 05-23-1979
Ginsberg, Janenna: 10-30-2029
Vinson, Kristien: 05/15/2092
Nat, Saloma: 10/31/2005
Rip, Donielle: 07/22/1913
Buell, Sorcha: 12.01.2055
Worsham, Ariel: 06.31.1954
Arnst, Mallory: 12-31-1939
Fechter, Shirlee: 09-06-2083
Vincenta, Hestia: 02/30/2010
Sheena, Pet: 06/06/2010
Leesa, Delcine: 09/18/2068
Mellisent, Devan: 09-04-2052
Canfield, Heath: 11/07/2049
Constancy, Marina: 11.30.2042
Killarney, Rozamond: 10-06-1913
Regazzi, Thalia: 09-31-1903
Kurtz, Rosemonde: 10.29.2071
Audwin, Bebe: 12-07-2024
Cimbura, Lynnette: 10-30-2053
Tatia, Dorise: 11-08-1990
Rotman, Marys: 04.23.1925
Jacquet, Alleen: 10-06-1969
Misha, Camel: 08-29-1901
Claudette, Dierdre: 09.18.2053
Sheffield, Blancha: 06.30.1933
Francoise, Angy: 11-30-1996
Benn, Sybilla: 11-01-2099
Marni, Shelbi: 07/31/2042
Alake, Luz: 09-25-2066
Swain, Cariotta: 02.27.1943
Lucille, Melantha: 09-30-2032
Ellata, Myrle: 04.30.2041
Emad, Ronni: 12-31-1926
